LocalCurrencyAmount,ExchangeRate,Nights,Adults,Minors,FreeMinors,cluster,GraphDate,Profile
700.02,19.57,1,1,0,0,0,2019-08,A
2284.8,20.38,2,4,0,0,1,2019-08,B
3360.0,19.38,2,3,0,1,2,2019-08,C
2634.0,19.3,1,2,0,0,1,2019-08,B
1037.61,19.3,1,2,0,0,1,2019-08,B
6370.0,24.39,7,1,0,0,0,2019-08,A
3366.29,1.0,2,2,0,0,1,2019-08,B
1436.18,22.0,1,2,0,0,1,2019-08,B
730.0,19.01,1,2,0,0,1,2019-08,B
2063.34,21.52,1,2,0,2,2,2019-08,C
1956.48,19.18,2,2,0,0,1,2019-08,B
2434.0,19.3,2,1,0,0,0,2019-08,A
1236.08,16.0,1,1,0,0,0,2019-08,A
940.0,1.0,1,2,0,0,1,2019-08,B
1038.97,19.59,1,2,0,0,1,2019-08,B
1507.0,19.3,1,1,0,0,0,2019-08,A
548.22,19.21,1,2,0,0,1,2019-08,B
971.0,18.76,1,1,0,0,0,2019-08,A
2939.34,21.31,2,4,0,0,1,2019-08,B
1268.0,19.41,1,3,0,0,1,2019-08,B
2092.28,19.3,1,2,0,0,1,2019-08,B
3180.28,19.51,2,3,0,0,1,2019-08,B
3654.0,19.43,2,2,0,0,1,2019-08,B
1822.0,18.77,2,1,0,0,0,2019-08,A
3911.56,18.97,2,2,0,1,2,2019-08,C
1568.0,17.0,1,2,2,0,2,2019-08,C
883.48,19.0,1,2,0,0,1,2019-08,B
796.56,19.3,1,1,0,0,0,2019-08,A
1140.02,19.2109,1,2,0,0,1,2019-08,B
776.0,19.12,1,1,0,0,0,2019-08,A
8211.06,21.31,3,2,0,0,1,2019-08,B
820.0,18.7672,1,1,0,0,0,2019-08,A
1092.12,19.2109,1,1,0,0,0,2019-08,A
2435.02,16.0,2,1,0,0,0,2019-08,A
1194.09,19.2109,1,2,0,0,1,2019-08,B
1200.0,19.2109,1,1,0,0,0,2019-08,A
1518.59,19.2109,1,2,0,1,2,2019-08,C
1349.46,21.52,2,1,0,0,0,2019-08,A
1029.85,19.2109,1,1,0,0,0,2019-08,A
653.81,19.18,1,2,0,0,1,2019-08,B
5000.0,19.01,1,3,0,0,1,2019-08,B
3116.91,19.71,3,2,0,0,1,2019-08,B
4152.06,1.0,6,1,0,0,0,2019-08,A
18375.79,1.0,6,1,0,0,2,2019-08,C
2607.0,21.31,2,1,0,0,0,2019-08,A
1672.0,18.91,2,1,0,0,0,2019-08,A
685.44,20.37,1,2,0,0,1,2019-08,B
1097.78,19.8,1,1,0,0,0,2019-08,A
2034.41,19.2109,1,3,0,0,1,2019-08,B
1955.18,19.4543,1,2,1,0,2,2019-08,C
1364.78,16.0,1,2,0,0,1,2019-08,B
1140.02,19.2109,1,1,0,0,0,2019-08,A
2265.6,18.77,3,1,0,0,0,2019-08,A
694.14,1.0,2,2,0,0,1,2019-08,B
1557.0,19.3,1,3,0,0,1,2019-08,B
2728.9,1.0,2,1,0,0,0,2019-08,A
2417.4,1.0,4,2,0,0,1,2019-08,B
640.4,22.05,1,2,0,0,1,2019-08,B
1215.0,21.98,1,1,0,0,0,2019-08,A
870.0,19.01,1,2,0,0,1,2019-08,B
6902.0,19.0,7,1,0,0,0,2019-08,A
3940.28,21.31,2,3,0,0,1,2019-08,B
594.72,18.85,1,1,0,0,0,2019-08,A
1249.5,18.0,1,2,0,0,1,2019-08,B
1884.88,19.7,2,2,0,0,1,2019-08,B
4057.8,1.0,3,1,0,0,0,2019-08,A
